Time,Angular Acc,Angular Vel,Angular Dis,Force X,Force Y,Accel X,Accel Y,Vel X,Vel Y,Pos X,Pos Y
0,0,0,0,5e+07,0,50,0,0,0,100,100
0.016,0,0,0,5e+07,0,50,0,0.8,0,100.006,100
0.032,0,0,0,5e+07,0,50,0,1.6,0,100.026,100
0.049,0,0,0,5e+07,0,50,0,2.45,0,100.06,100
0.065,0,0,0,5e+07,0,50,0,3.25,0,100.106,100
0.081,0,0,0,5e+07,0,50,0,4.05,0,100.164,100
0.097,0,0,0,5e+07,0,50,0,4.85,0,100.235,100
0.114,0,0,0,5e+07,0,50,0,5.7,0,100.325,100
0.131,0,0,0,5e+07,0,50,0,6.55,0,100.429,100
0.148,0,0,0,5e+07,0,50,0,7.4,0,100.548,100
0.165,0,0,0,5e+07,0,50,0,8.25,0,100.681,100
0.181,0,0,0,5e+07,0,50,0,9.05,0,100.819,100
0.197,0,0,0,5e+07,0,50,0,9.85,0,100.97,100
0.214,0,0,0,5e+07,0,50,0,10.7,0,101.145,100
0.231,0,0,0,5e+07,0,50,0,11.55,0,101.334,100
0.248,0,0,0,5e+07,0,50,0,12.4,0,101.538,100
0.265,0,0,0,5e+07,0,50,0,13.25,0,101.756,100
0.282,0,0,0,5e+07,0,50,0,14.1,0,101.988,100
0.299,0,0,0,5e+07,0,50,0,14.95,0,102.235,100
0.316,0,0,0,5e+07,0,50,0,15.8,0,102.496,100
0.332,0,0,0,5e+07,0,50,0,16.6,0,102.756,100
0.348,0,0,0,5e+07,0,50,0,17.4,0,103.028,100
0.365,0,0,0,5e+07,0,50,0,18.25,0,103.331,100
0.382,0,0,0,5e+07,0,50,0,19.1,0,103.648,100
0.399,0,0,0,5e+07,0,50,0,19.95,0,103.98,100
0.416,0,0,0,5e+07,0,50,0,20.8,0,104.326,100
0.432,0,0,0,5e+07,0,50,0,21.6,0,104.666,100
0.448,0,0,0,5e+07,0,50,0,22.4,0,105.018,100
0.464,0,0,0,5e+07,0,50,0,23.2,0,105.382,100
0.481,0,0,0,5e+07,0,50,0,24.05,0,105.784,100
0.498,0,0,0,5e+07,0,50,0,24.9,0,106.2,100
